inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPA,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S.39,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S.40,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,,,,,,,,,,,,46,,,,
E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,R.27,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,,,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R.3,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R.3,R.3,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R.3,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R.3,E-ID-leia-escreva-se-fimse,,,,,,,,,,,,,,,,
E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,S.49,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,S.56,S.57,S.58,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,,,59,48,,51,,,,,,,,,,
E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,S.50,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R.5,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R.5,R.5,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R.5,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R.5,E-ID-leia-escreva-se-fim,,,,,,,,,,,,,,,,
E-ID,E-ID,E-ID,E-ID,S.53,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,,,,,61,,,,,,,,,,,
E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,R.6,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,R.6,R.6,R.6,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,,,,,,,,,,,,,,,,
E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,R.8,E-Ponto e Virgula-Virgula,S.54,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,,,,,,,,,,,,,,,,
E-ID,E-ID,E-ID,E-ID,S.53,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,,,,,55,,,,,,,,,,,
